time_h,level_0,level_1,level_2,level_3,level_4,level_5,level_6
2.800000000000000000e+01,1.110899653824230608e-02,1.211532585888072146e-02,7.244366464167904113e-03,4.680315786275455331e-03,2.520864572388744305e-03,1.261208584106012897e-03,6.130961734059218234e-04
2.900000000000000000e+01,5.086069231012700642e-03,5.904538255320460928e-03,3.690266661039666787e-03,2.491366646107750701e-03,1.402201061892155518e-03,7.315421219806513388e-04,3.696926110255900123e-04
3.000000000000000000e+01,2.187491118182885094e-03,2.703294599142468894e-03,1.767331668145336607e-03,1.247009215498626200e-03,7.336976313362287986e-04,3.992673638710832456e-04,2.098190470049136381e-04
3.100000000000000000e+01,8.838263069350499584e-04,1.162672519162401231e-03,7.957413639172099349e-04,5.869147287785180141e-04,3.611346097709210818e-04,2.050531572372657051e-04,1.120851687166627737e-04
3.200000000000000000e+01,3.354626279025118532e-04,4.697621628012771042e-04,3.368291842946055875e-04,2.597506912594311503e-04,1.672111287127139715e-04,9.909518448956597077e-05,5.635822247160654432e-05
3.300000000000000000e+01,1.196128835810243658e-04,1.783016056276594990e-04,1.340360240461390784e-04,1.080978383731773370e-04,7.282893722228468572e-05,4.506366268266823969e-05,2.667342154427213526e-05
3.400000000000000000e+01,4.006529739295106870e-05,6.357539535655459654e-05,5.014150779874262324e-05,4.230165170849789101e-05,2.983897267590201912e-05,1.928376377109176999e-05,1.188279014960927982e-05
3.500000000000000000e+01,1.260710517704852271e-05,2.129509000683341266e-05,1.763303835787702014e-05,1.556604425786716994e-05,1.150013449041501034e-05,7.765173189044171753e-06,4.982895974268695135e-06
3.600000000000000000e+01,3.726653172078670938e-06,6.700797371794805069e-06,5.829088452640663378e-06,5.386164232151657910e-06,4.169258644872227470e-06,2.942430956987151723e-06,1.966861440612831362e-06
3.700000000000000000e+01,1.034854211109375308e-06,1.980751919680714135e-06,1.811372089376712405e-06,1.752509038625782348e-06,1.421834167000628758e-06,1.049199507739559564e-06,7.307999077490031105e-07
3.800000000000000000e+01,2.699578503363014081e-07,5.500349430428011505e-07,5.291003571648987506e-07,5.361896394934934121e-07,4.561105844665335979e-07,3.520517568285783722e-07,2.555992036875759309e-07
3.900000000000000000e+01,6.615601637697700809e-08,1.434851878067980956e-07,1.452719202897668013e-07,1.542593069123506787e-07,1.376318378186771318e-07,1.111605481249283072e-07,8.415105706462403980e-08
4.000000000000000000e+01,1.522997974471262915e-08,3.516255749767950510e-08,3.749112858751501160e-08,4.173070163843231583e-08,3.906530356282593110e-08,3.302849337602072702e-08,2.607958587968651338e-08
4.100000000000000000e+01,3.293714110306080918e-09,8.094880372034015064e-09,9.094287136471333650e-09,1.061517461228752199e-08,1.042995689149196689e-08,9.234599699181395023e-09,7.608235758629885243e-09
4.200000000000000000e+01,6.691586091292781558e-10,1.750640654125916372e-09,2.073444279318609419e-09,2.538988941367677765e-09,2.619315401819075415e-09,2.429601451617621598e-09,2.089342393909884895e-09
4.300000000000000000e+01,1.277111554512833423e-10,3.556642215954820140e-10,4.443140593503626225e-10,5.710196662451203541e-10,6.187304240310202855e-10,6.014994132685491822e-10,5.401034537476750341e-10
4.400000000000000000e+01,2.289734845645552983e-11,6.787970456174004665e-11,8.948543229020885295e-11,1.207512521010551776e-10,1.374729987458459624e-10,1.401242410892653918e-10,1.314269153662541605e-10
4.500000000000000000e+01,3.856542728469724192e-12,1.217016041378081017e-11,1.693830913578907248e-11,2.400908820612153721e-11,2.872955584252330937e-11,3.071588798854428154e-11,3.010433591150711326e-11
4.600000000000000000e+01,6.101936677605323931e-13,2.049789465244566275e-12,3.013243724231510762e-12,4.488442953744892903e-12,5.647142441833390718e-12,6.335452217556186422e-12,6.490938748526750023e-12
4.700000000000000000e+01,9.069719177099092305e-14,3.243237894659051316e-13,5.037745960274295784e-13,7.889397440672198494e-13,1.044020673869000971e-12,1.229558223267260634e-12,1.317392001699038719e-12
4.800000000000000000e+01,1.266416554909417554e-14,4.820642770194652995e-14,7.915304412469682428e-14,1.303802023466990640e-13,1.815355307597467492e-13,2.245271738544302172e-13,2.516783672953255581e-13
