time_h,level_0,level_1,level_2,level_3,level_4,level_5,level_6
2.100000000000000000e+01,4.578333617716142667e-01,1.000000000000000000e+00,8.821789250382732206e-01,1.583037583865018194e-01,1.870043407061666024e-02,5.227088434739277307e-04,3.059488484387510373e-05
2.200000000000000000e+01,3.246524673583497389e-01,1.000000000000000000e+00,9.205812664969843517e-01,1.814357602402536518e-01,2.265942589979884000e-02,6.708994867712122882e-04,4.092688647506537191e-05
2.300000000000000000e+01,2.162651668298873064e-01,1.000000000000000000e+00,9.422092086912549069e-01,2.046155735715401158e-01,2.676943147308692358e-02,8.406019734183249603e-04,5.341120104746260747e-05
2.400000000000000000e+01,1.353352832366127023e-01,1.000000000000000000e+00,9.598761884712811998e-01,2.276604495908446657e-01,3.095022935415655055e-02,1.031680313051953598e-03,6.811352182394287834e-05
2.500000000000000000e+01,7.955950871822768666e-02,1.000000000000000000e+00,9.745698118389267695e-01,2.505522858876020886e-01,3.518777342969149624e-02,1.243785040196437831e-03,8.505337022230828202e-05
2.600000000000000000e+01,4.393693362340741343e-02,1.000000000000000000e+00,9.871880115385198717e-01,2.732780326443236540e-01,3.947138260445615804e-02,1.476553791702204686e-03,1.042421329606686616e-04
2.700000000000000000e+01,2.279418088361234371e-02,9.997871724679336936e-01,9.984470057431186207e-01,2.958291983585659146e-01,4.379341747295670967e-02,1.729616024406712121e-03,1.256850328171960909e-04
2.800000000000000000e+01,1.110899653824230608e-02,9.946664047611885051e-01,1.000000000000000000e+00,3.181974271720904857e-01,4.814865810357138454e-02,2.002597236604133045e-03,1.493828978614539823e-04
2.900000000000000000e+01,5.086069231012700642e-03,9.868852309407084578e-01,1.000000000000000000e+00,3.402565655805858680e-01,5.250456914971238925e-02,2.295119121227317226e-03,1.753335637165187599e-04
3.000000000000000000e+01,2.187491118182885094e-03,9.777863565656196299e-01,1.000000000000000000e+00,3.619586807627581115e-01,5.685548357372005590e-02,2.606692424335260369e-03,2.035165954883275878e-04
3.100000000000000000e+01,8.838263069350499584e-04,9.681091012546702013e-01,1.000000000000000000e+00,3.832859442002575778e-01,6.120080246468554558e-02,2.936789157750810658e-03,2.339085253873461341e-04
3.200000000000000000e+01,3.354626279025118532e-04,9.582298897762476786e-01,1.000000000000000000e+00,4.042328027070361540e-01,6.553990092083092356e-02,3.284870371434748908e-03,2.664857200376449125e-04
3.300000000000000000e+01,1.196128835810243658e-04,9.483262356975985519e-01,1.000000000000000000e+00,4.247999163750448837e-01,6.987215054342964249e-02,3.650397438700533036e-03,3.012243660906318231e-04
3.400000000000000000e+01,4.006529739295106870e-05,9.384756161028101618e-01,1.000000000000000000e+00,4.449908411855552637e-01,7.419693072147041935e-02,4.032837710996647028e-03,3.381004701893509739e-04
3.500000000000000000e+01,1.260710517704852271e-05,9.287091331319589083e-01,1.000000000000000000e+00,4.648103630113292195e-01,7.851363379286417643e-02,4.431667096510091830e-03,3.770898660563407317e-04
3.600000000000000000e+01,3.726653172078670938e-06,9.190380075146127314e-01,1.000000000000000000e+00,4.842637264655947349e-01,8.282166713571406658e-02,4.846371096424197979e-03,4.181682247644393858e-04
3.700000000000000000e+01,1.034854211109375308e-06,9.094655604079636690e-01,1.000000000000000000e+00,5.033563050155713814e-01,8.712045384168831674e-02,5.276445128779635660e-03,4.613110662189814719e-04
3.800000000000000000e+01,2.699578503363014081e-07,8.999922011531720223e-01,1.000000000000000000e+00,5.220934704636106538e-01,9.140943278514621073e-02,5.721394548738273876e-03,5.064937709434747535e-04
3.900000000000000000e+01,6.615601637697700809e-08,8.906173450857143292e-01,1.000000000000000000e+00,5.404805453494826439e-01,9.568805845525284182e-02,6.180734549774062440e-03,5.536915917840640623e-04
4.000000000000000000e+01,1.522997974471262915e-08,8.813400964383661940e-01,1.000000000000000000e+00,5.585227872091916845e-01,9.995580070367526826e-02,6.653990022469143117e-03,6.028796653839741141e-04
4.100000000000000000e+01,3.293714110306080918e-09,8.721594739707846378e-01,1.000000000000000000e+00,5.762253841648360408e-01,1.042121444664132063e-01,7.140695400341189741e-03,6.540330233770277890e-04
4.200000000000000000e+01,6.691586091292781558e-10,8.630744802151821826e-01,1.000000000000000000e+00,5.935934542499832212e-01,1.084565894805476632e-01,7.640394503148116058e-03,7.071266032868370232e-04
4.300000000000000000e+01,1.277111554512833423e-10,8.540841212016783146e-01,1.000000000000000000e+00,6.106320458744011193e-01,1.126886500027238086e-01,8.152640381097135680e-03,7.621352591315288909e-04
4.400000000000000000e+01,2.289734845645552983e-11,8.451874116354869404e-01,1.000000000000000000e+00,6.273461386065052325e-01,1.169078545314120587e-01,8.676995160987291053e-03,8.190337717381729766e-04
4.500000000000000000e+01,3.856542728469724192e-12,8.363833761029350056e-01,1.000000000000000000e+00,6.437406440323144574e-01,1.211137455334835022e-01,9.213029894556246102e-03,8.777968587723237841e-04
4.600000000000000000e+01,6.101936677605323931e-13,8.276710492694250298e-01,1.000000000000000000e+00,6.598204066251804889e-01,1.253058791751933410e-01,9.760324409079781244e-03,9.383991844883787011e-04
4.700000000000000000e+01,9.069719177099092305e-14,8.190494758396769104e-01,1.000000000000000000e+00,6.755902046096942115e-01,1.294838250575454930e-01,1.031846716021218510e-02,1.000815369206445099e-03
4.800000000000000000e+01,1.266416554909417554e-14,8.105177104663681131e-01,1.000000000000000000e+00,6.910547508159446961e-01,1.336471659559825276e-01,1.088705508704057925e-02,1.065019998521336310e-03
